antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'senior data analyst'}),frozenset({'0.0'}),0.014847161572052401,1.0,0.014847161572052401,1.0,1.0,1.0,0.0,inf,0.0,0.014847161572052401,0.0,0.5074235807860262
frozenset({'senior data engineer'}),frozenset({'0.0'}),0.01222707423580786,1.0,0.01222707423580786,1.0,1.0,1.0,0.0,inf,0.0,0.01222707423580786,0.0,0.506113537117904
frozenset({'senior data scientist'}),frozenset({'0.0'}),0.029694323144104803,1.0,0.029694323144104803,1.0,1.0,1.0,0.0,inf,0.0,0.029694323144104806,0.0,0.5148471615720523
frozenset({'synergisticit'}),frozenset({'0.0'}),0.013100436681222707,1.0,0.013100436681222707,1.0,1.0,1.0,0.0,inf,0.0,0.013100436681222708,0.0,0.5065502183406113
frozenset({'takeda pharmaceuticals\n3.7'}),frozenset({'0.0'}),0.01222707423580786,1.0,0.01222707423580786,1.0,1.0,1.0,0.0,inf,0.0,0.01222707423580786,0.0,0.506113537117904
frozenset({'117500.0'}),frozenset({'1.0'}),0.25065502183406113,0.8812227074235808,0.25065502183406113,1.0,1.134786917740337,1.0,0.029772124864133026,inf,0.1585081585081585,0.2844400396432111,1.0,0.6422200198216055
frozenset({'1.0'}),frozenset({'117500.0'}),0.8812227074235808,0.25065502183406113,0.25065502183406113,0.2844400396432111,1.134786917740337,1.0,0.029772124864133026,1.0472147963565546,0.9999999999999999,0.2844400396432111,0.04508606688983296,0.6422200198216055
frozenset({'212160.0'}),frozenset({'1.0'}),0.04192139737991266,0.8812227074235808,0.04192139737991266,1.0,1.134786917740337,1.0,0.004979310081806222,inf,0.1239744758432088,0.04757185332011893,1.0,0.5237859266600595
frozenset({'Data Analyst'}),frozenset({'1.0'}),0.39039301310043667,0.8812227074235808,0.3807860262008734,0.9753914988814318,1.1068615126057875,1.0,0.03676283823725712,4.826677252878141,0.15837188822586165,0.42745098039215684,0.792818133964996,0.703751249936256
frozenset({'1.0'}),frozenset({'Data Analyst'}),0.8812227074235808,0.39039301310043667,0.3807860262008734,0.4321110009910803,1.1068615126057875,1.0,0.03676283823725712,1.073461517943559,0.8128204263356721,0.42745098039215684,0.06843423515012458,0.703751249936256
frozenset({'Data Engineer'}),frozenset({'1.0'}),0.10393013100436681,0.8812227074235808,0.09344978165938865,0.8991596638655464,1.0203546235144207,1.0,0.0018641902328331017,1.1778748180494922,0.02226230165236575,0.10479921645445643,0.15101334651507783,0.5026026267791557
frozenset({'1.0'}),frozenset({'Data Engineer'}),0.8812227074235808,0.10393013100436681,0.09344978165938865,0.10604558969276512,1.0203546235144207,1.0,0.0018641902328331017,1.0023664055616341,0.16794942275975927,0.10479921645445643,0.002360818906643339,0.5026026267791557
frozenset({'Data Scientist'}),frozenset({'1.0'}),0.5056768558951965,0.8812227074235808,0.4069868995633188,0.8048359240069085,0.9133172774904957,1.0,-0.0386270284700902,0.6086022336437765,-0.16107341991176763,0.41532976827094475,-0.6431093162653657,0.6333396666615316
frozenset({'1.0'}),frozenset({'Data Scientist'}),0.8812227074235808,0.5056768558951965,0.4069868995633188,0.46184340931615464,0.9133172774904957,1.0,-0.0386270284700902,0.9185488994507307,-0.44415306489383166,0.41532976827094475,-0.08867366843286738,0.6333396666615316
"frozenset({'atlanta, ga'})",frozenset({'1.0'}),0.0314410480349345,0.8812227074235808,0.0314410480349345,1.0,1.134786917740337,1.0,0.003734482561354665,inf,0.12263300270513976,0.035678889990089196,1.0,0.5178394449950446
"frozenset({'boston, ma'})",frozenset({'1.0'}),0.020087336244541485,0.8812227074235808,0.01572052401746725,0.782608695652174,0.8880941095359159,1.0,-0.001980892812875421,0.5463755458515285,-0.11393848988724606,0.01775147928994083,-0.8302429667519177,0.4002240703236093
frozenset({'by employers'}),frozenset({'1.0'}),0.03668122270742358,0.8812227074235808,0.03668122270742358,1.0,1.134786917740337,1.0,0.004356896321580442,inf,0.12330009066183135,0.04162537165510406,1.0,0.520812685827552
"frozenset({'cambridge, ma'})",frozenset({'1.0'}),0.04104803493449782,0.8812227074235808,0.028820960698689956,0.7021276595744681,0.7967652826687472,1.0,-0.007351499780705938,0.39875233936369314,-0.21010638297872347,0.03225806451612903,-1.5078222778473087,0.36741665436602494
"frozenset({'chicago, il'})",frozenset({'1.0'}),0.02794759825327511,0.8812227074235808,0.02445414847161572,0.875,0.9929385530227949,1.0,-0.0001739097271219077,0.9502183406113538,-0.007262996941895994,0.027640671273445213,-0.052389705882352845,0.4513751238850347
frozenset({'data analyst'}),frozenset({'1.0'}),0.05152838427947598,0.8812227074235808,0.05152838427947598,1.0,1.134786917740337,1.0,0.006120401975553483,inf,0.12523020257826897,0.05847373637264618,1.0,0.5292368681863231
frozenset({'data analyst - 35p cryptologic linguist'}),frozenset({'1.0'}),0.022707423580786028,0.8812227074235808,0.022707423580786028,1.0,1.134786917740337,1.0,0.0026971262943117046,inf,0.12153708668453984,0.025768087215064423,1.0,0.5128840436075323
frozenset({'data engineer'}),frozenset({'1.0'}),0.0462882096069869,0.8812227074235808,0.04279475982532751,0.9245283018867924,1.049142622061821,1.0,0.0020045384336683097,1.5737991266375528,0.0491141511549674,0.04837117472852912,0.3645948945615975,0.4865456177422069
frozenset({'data scientist'}),frozenset({'1.0'}),0.11441048034934498,0.8812227074235808,0.1091703056768559,0.9541984732824428,1.0828119444087185,1.0,0.008349192425773727,2.5933042212518216,0.08635897435897436,0.12315270935960593,0.6143915581499779,0.5390417539851262
frozenset({'1.0'}),frozenset({'data scientist'}),0.8812227074235808,0.11441048034934498,0.1091703056768559,0.12388503468780972,1.0828119444087185,1.0,0.008349192425773727,1.0108142820446957,0.6438823529411765,0.12315270935960593,0.010698584534065213,0.5390417539851262
"frozenset({'irvine, ca'})",frozenset({'1.0'}),0.01222707423580786,0.8812227074235808,0.01222707423580786,1.0,1.134786917740337,1.0,0.0014522987738601473,inf,0.12024756852343056,0.013875123885034688,1.0,0.5069375619425174
"frozenset({'las vegas, nv'})",frozenset({'1.0'}),0.01222707423580786,0.8812227074235808,0.01222707423580786,1.0,1.134786917740337,1.0,0.0014522987738601473,inf,0.12024756852343056,0.013875123885034688,1.0,0.5069375619425174
"frozenset({'los angeles, ca'})",frozenset({'1.0'}),0.03755458515283843,0.8812227074235808,0.03755458515283843,1.0,1.134786917740337,1.0,0.004460631948284742,inf,0.12341197822141567,0.04261645193260655,1.0,0.5213082259663033
frozenset({'massmutual\n3.6'}),frozenset({'1.0'}),0.01222707423580786,0.8812227074235808,0.010480349344978166,0.8571428571428571,0.9726745009202887,1.0,-0.0002944261169695473,0.8314410480349343,-0.02765439174666863,0.011869436201780416,-0.2027310924369751,0.4345179102364434
"frozenset({'nashville, tn'})",frozenset({'1.0'}),0.013973799126637555,0.8812227074235808,0.013973799126637555,1.0,1.134786917740337,1.0,0.0016597700272687407,inf,0.12046058458813114,0.015857284440039643,1.0,0.5079286422200198
"frozenset({'new york, ny'})",frozenset({'1.0'}),0.048034934497816595,0.8812227074235808,0.04716157205240175,0.9818181818181818,1.1141544283268763,1.0,0.004832097023321449,6.532751091703055,0.10762827047230722,0.05346534653465347,0.8469251336898396,0.5176682584016578
"frozenset({'san diego, ca'})",frozenset({'1.0'}),0.028820960698689956,0.8812227074235808,0.025327510917030567,0.8787878787878788,0.9972369883172658,1.0,-7.017410041761096e-05,0.9799126637554586,-0.002844774273345653,0.02862783810463968,-0.02049910873440279,0.45376460341772534
"frozenset({'san francisco, ca'})",frozenset({'1.0'}),0.04279475982532751,0.8812227074235808,0.034934497816593885,0.8163265306122449,0.9263566675431323,1.0,-0.0027772163002231093,0.6466763706938381,-0.07668330490090777,0.03929273084479371,-0.5463685474189673,0.427984870856172
"frozenset({'san jose, ca'})",frozenset({'1.0'}),0.011353711790393014,0.8812227074235808,0.011353711790393014,1.0,1.134786917740337,1.0,0.0013485631471558523,inf,0.12014134275618384,0.012884043607532212,1.0,0.5064420218037661
frozenset({'senior data analyst'}),frozenset({'1.0'}),0.014847161572052401,0.8812227074235808,0.014847161572052401,1.0,1.134786917740337,1.0,0.0017635056539730357,inf,0.12056737588652477,0.01684836471754212,1.0,0.5084241823587711
frozenset({'senior data engineer'}),frozenset({'1.0'}),0.01222707423580786,0.8812227074235808,0.010480349344978166,0.8571428571428571,0.9726745009202887,1.0,-0.0002944261169695473,0.8314410480349343,-0.02765439174666863,0.011869436201780416,-0.2027310924369751,0.4345179102364434
frozenset({'senior data scientist'}),frozenset({'1.0'}),0.029694323144104803,0.8812227074235808,0.028820960698689956,0.9705882352941176,1.1014108319244447,1.0,0.002653648862531225,4.038427947598253,0.09489130731254941,0.032673267326732675,0.752378892733564,0.5016469422258497
frozenset({'synergisticit'}),frozenset({'1.0'}),0.013100436681222707,0.8812227074235808,0.013100436681222707,1.0,1.134786917740337,1.0,0.001556034400564444,inf,0.12035398230088498,0.014866204162537165,1.0,0.5074331020812686
frozenset({'takeda pharmaceuticals\n3.7'}),frozenset({'1.0'}),0.01222707423580786,0.8812227074235808,0.010480349344978166,0.8571428571428571,0.9726745009202887,1.0,-0.0002944261169695473,0.8314410480349343,-0.02765439174666863,0.011869436201780416,-0.2027310924369751,0.4345179102364434
frozenset({'Data Analyst'}),frozenset({'117500.0'}),0.39039301310043667,0.25065502183406113,0.25065502183406113,0.6420581655480985,2.5615212527964206,1.0,0.15280105261150628,2.093482532751092,1.0000000000000002,0.6420581655480985,0.5223270391055626,0.8210290827740492
frozenset({'117500.0'}),frozenset({'Data Analyst'}),0.25065502183406113,0.39039301310043667,0.25065502183406113,1.0,2.5615212527964206,1.0,0.15280105261150628,inf,0.8135198135198136,0.6420581655480985,1.0,0.8210290827740492
"frozenset({'atlanta, ga'})",frozenset({'117500.0'}),0.0314410480349345,0.25065502183406113,0.01921397379912664,0.6111111111111112,2.4380565234223774,1.0,0.011333117217444367,1.9268870867124146,0.6089843429789327,0.07308970099667776,0.48102823102823106,0.3438830816879598
frozenset({'117500.0'}),frozenset({'by employers'}),0.25065502183406113,0.03668122270742358,0.03668122270742358,0.14634146341463414,3.9895470383275264,1.0,0.027486890028794262,1.128459139114161,1.0,0.14634146341463414,0.11383587997258032,0.573170731707317
frozenset({'by employers'}),frozenset({'117500.0'}),0.03668122270742358,0.25065502183406113,0.03668122270742358,1.0,3.989547038327526,1.0,0.027486890028794262,inf,0.7778785131459656,0.14634146341463414,1.0,0.573170731707317
frozenset({'data analyst'}),frozenset({'117500.0'}),0.05152838427947598,0.25065502183406113,0.026200873362445413,0.5084745762711864,2.0285832398275554,1.0,0.01328502507579947,1.5245294383375998,0.5345917740945365,0.09493670886075949,0.3440598949073525,0.30650209649796256
frozenset({'117500.0'}),frozenset({'data analyst'}),0.25065502183406113,0.05152838427947598,0.026200873362445413,0.10452961672473868,2.028583239827556,1.0,0.01328502507579947,1.059188146738484,0.6766511266511267,0.09493670886075949,0.055880673250299995,0.30650209649796256
frozenset({'data analyst - 35p cryptologic linguist'}),frozenset({'117500.0'}),0.022707423580786028,0.25065502183406113,0.022707423580786028,1.0,3.989547038327526,1.0,0.01701569382734883,inf,0.7667560321715817,0.09059233449477352,1.0,0.5452961672473867
"frozenset({'los angeles, ca'})",frozenset({'117500.0'}),0.03755458515283843,0.25065502183406113,0.013973799126637555,0.37209302325581395,1.484482618912568,1.0,0.004560553765183731,1.1934012615235323,0.3390993647912886,0.05095541401273885,0.16205887136119693,0.21392107608783728
"frozenset({'san diego, ca'})",frozenset({'117500.0'}),0.028820960698689956,0.25065502183406113,0.013973799126637555,0.48484848484848486,1.9343258367648613,1.0,0.006749680593428806,1.4546108399691755,0.49735836330935257,0.052631578947368425,0.31253090343999435,0.27029880688417274
frozenset({'synergisticit'}),frozenset({'117500.0'}),0.013100436681222707,0.25065502183406113,0.010480349344978166,0.8,3.1916376306620213,1.0,0.007196659102610553,3.7467248908296953,0.6957964601769913,0.041379310344827586,0.7331002331002332,0.42090592334494775
frozenset({'212160.0'}),frozenset({'Data Scientist'}),0.04192139737991266,0.5056768558951965,0.04192139737991266,1.0,1.9775474956822108,1.0,0.0207227169581053,inf,0.5159525979945305,0.08290155440414508,1.0,0.5414507772020726
"frozenset({'atlanta, ga'})",frozenset({'Data Analyst'}),0.0314410480349345,0.39039301310043667,0.020087336244541485,0.6388888888888888,1.6365274670643797,1.0,0.007812970767147842,1.6881424252603288,0.40157603795036656,0.05000000000000001,0.40763291945240365,0.34517151379567484
frozenset({'by employers'}),frozenset({'Data Analyst'}),0.03668122270742358,0.39039301310043667,0.03668122270742358,1.0,2.5615212527964206,1.0,0.02236112965046433,inf,0.6328195829555757,0.09395973154362415,1.0,0.5469798657718121
frozenset({'Data Analyst'}),frozenset({'data analyst'}),0.39039301310043667,0.05152838427947598,0.05152838427947598,0.1319910514541387,2.5615212527964206,1.0,0.03141206308041418,1.0926979696574077,1.0,0.1319910514541387,0.08483402754603021,0.5659955257270693
frozenset({'data analyst'}),frozenset({'Data Analyst'}),0.05152838427947598,0.39039301310043667,0.05152838427947598,1.0,2.5615212527964206,1.0,0.03141206308041418,inf,0.6427255985267035,0.1319910514541387,1.0,0.5659955257270693
frozenset({'data analyst - 35p cryptologic linguist'}),frozenset({'Data Analyst'}),0.022707423580786028,0.39039301310043667,0.022707423580786028,1.0,2.5615212527964206,1.0,0.013842604069335063,inf,0.6237712243074174,0.05816554809843401,1.0,0.529082774049217
"frozenset({'los angeles, ca'})",frozenset({'Data Analyst'}),0.03755458515283843,0.39039301310043667,0.025327510917030567,0.6744186046511628,1.7275375890952605,1.0,0.010666463263477048,1.8723643169058013,0.4375743162901307,0.06290672451193058,0.4659159059105751,0.36964778107278495
"frozenset({'new york, ny'})",frozenset({'Data Analyst'}),0.048034934497816595,0.39039301310043667,0.01222707423580786,0.2545454545454545,0.6520235916209071,1.0,-0.0065254285768768724,0.8177654702311214,-0.3592273777031284,0.028688524590163935,-0.22284449075280024,0.14293268252999797
"frozenset({'san diego, ca'})",frozenset({'Data Analyst'}),0.028820960698689956,0.39039301310043667,0.017467248908296942,0.6060606060606061,1.5524371229069216,1.0,0.006215747220686104,1.5474638898219684,0.36641187050359714,0.043478260869565216,0.35378136667534954,0.3254016676835469
frozenset({'senior data analyst'}),frozenset({'Data Analyst'}),0.014847161572052401,0.39039301310043667,0.014847161572052401,1.0,2.5615212527964206,1.0,0.009050933429949847,inf,0.6187943262411346,0.03803131991051454,1.0,0.5190156599552572
frozenset({'synergisticit'}),frozenset({'Data Analyst'}),0.013100436681222707,0.39039301310043667,0.010480349344978166,0.8,2.0492170022371368,1.0,0.005366030396064148,3.0480349344978173,0.5188053097345133,0.02666666666666667,0.6719197707736391,0.4134228187919463
frozenset({'Data Engineer'}),frozenset({'data engineer'}),0.10393013100436681,0.0462882096069869,0.0462882096069869,0.44537815126050423,9.621848739495798,1.0,0.04147746991857516,1.7195712584358873,1.0,0.4453781512605043,0.41845969156893525,0.7226890756302521
frozenset({'data engineer'}),frozenset({'Data Engineer'}),0.0462882096069869,0.10393013100436681,0.0462882096069869,1.0,9.621848739495798,1.0,0.04147746991857516,inf,0.9395604395604394,0.4453781512605043,1.0,0.7226890756302521
frozenset({'Data Engineer'}),frozenset({'senior data engineer'}),0.10393013100436681,0.01222707423580786,0.01222707423580786,0.11764705882352942,9.6218487394958,1.0,0.010956312808680231,1.1194759825327512,1.0,0.11764705882352942,0.10672491808394446,0.5588235294117647
frozenset({'senior data engineer'}),frozenset({'Data Engineer'}),0.01222707423580786,0.10393013100436681,0.01222707423580786,1.0,9.621848739495798,1.0,0.010956312808680231,inf,0.9071618037135278,0.11764705882352942,1.0,0.5588235294117647
"frozenset({'atlanta, ga'})",frozenset({'Data Scientist'}),0.0314410480349345,0.5056768558951965,0.011353711790393014,0.3611111111111111,0.7141143734407983,1.0,-0.004545298525962509,0.7737231820770838,-0.29245190420102074,0.02159468438538206,-0.29245190420102085,0.1917818077144502
"frozenset({'boston, ma'})",frozenset({'Data Scientist'}),0.020087336244541485,0.5056768558951965,0.020087336244541485,1.0,1.9775474956822108,1.0,0.009929635209092123,inf,0.5044563279857398,0.039723661485319514,1.0,0.5198618307426598
"frozenset({'cambridge, ma'})",frozenset({'Data Scientist'}),0.04104803493449782,0.5056768558951965,0.03580786026200873,0.8723404255319148,1.725094623892992,1.0,0.015050819015655685,3.8721979621542917,0.4383135634635034,0.07008547008547009,0.7417487406961881,0.47157608495939435
"frozenset({'chicago, il'})",frozenset({'Data Scientist'}),0.02794759825327511,0.5056768558951965,0.01921397379912664,0.6875,1.3595639032815199,1.0,0.005081520184588396,1.5818340611353712,0.272073838111574,0.03735144312393888,0.3678224381625442,0.36274827288428324
frozenset({'Data Scientist'}),frozenset({'data scientist'}),0.5056768558951965,0.11441048034934498,0.11441048034934498,0.22625215889464595,1.9775474956822108,1.0,0.056555748364829045,1.1445453836556458,1.0,0.22625215889464595,0.1262906527952363,0.613126079447323
frozenset({'data scientist'}),frozenset({'Data Scientist'}),0.11441048034934498,0.5056768558951965,0.11441048034934498,1.0,1.9775474956822108,1.0,0.056555748364829045,inf,0.5581854043392505,0.22625215889464595,1.0,0.613126079447323
"frozenset({'los angeles, ca'})",frozenset({'Data Scientist'}),0.03755458515283843,0.5056768558951965,0.011353711790393014,0.3023255813953488,0.5978631963690404,1.0,-0.007636772754142752,0.7085298398835517,-0.4113731613115293,0.021346469622331693,-0.41137316131152935,0.16238904285656905
"frozenset({'new york, ny'})",frozenset({'Data Scientist'}),0.048034934497816595,0.5056768558951965,0.03318777292576419,0.6909090909090909,1.3663055424713455,1.0,0.008897618275776585,1.5992807603390702,0.2816272332206663,0.06375838926174496,0.3747189206553164,0.37826974407285285
"frozenset({'pittsburgh, pa'})",frozenset({'Data Scientist'}),0.010480349344978166,0.5056768558951965,0.010480349344978166,1.0,1.9775474956822108,1.0,0.005180679239526325,inf,0.499558693733451,0.02072538860103627,1.0,0.5103626943005182
frozenset({'reynolds american\n3.1'}),frozenset({'Data Scientist'}),0.01222707423580786,0.5056768558951965,0.01222707423580786,1.0,1.9775474956822108,1.0,0.006044125779447379,inf,0.5004420866489832,0.024179620034542316,1.0,0.5120898100172712
"frozenset({'san diego, ca'})",frozenset({'Data Scientist'}),0.028820960698689956,0.5056768558951965,0.010480349344978166,0.36363636363636365,0.7191081802480767,1.0,-0.004093743445014397,0.7767935121646912,-0.2868366201699535,0.02,-0.28734339865081915,0.19218087611869997
"frozenset({'san francisco, ca'})",frozenset({'Data Scientist'}),0.04279475982532751,0.5056768558951965,0.027074235807860263,0.6326530612244898,1.2511014768601743,1.0,0.005433916210598581,1.345657447840854,0.20967741935483883,0.051926298157453935,0.2568688252686234,0.3430968242219168
frozenset({'senior data scientist'}),frozenset({'Data Scientist'}),0.029694323144104803,0.5056768558951965,0.029694323144104803,1.0,1.9775474956822108,1.0,0.01467859117865792,inf,0.5094509450945094,0.05872193436960276,1.0,0.5293609671848014
frozenset({'by employers'}),frozenset({'data analyst - 35p cryptologic linguist'}),0.03668122270742358,0.022707423580786028,0.022707423580786028,0.6190476190476192,27.261904761904766,1.0,0.021874487519307415,2.5653930131004374,1.0,0.6190476190476192,0.61019617856079,0.8095238095238095
frozenset({'data analyst - 35p cryptologic linguist'}),frozenset({'by employers'}),0.022707423580786028,0.03668122270742358,0.022707423580786028,1.0,27.261904761904763,1.0,0.021874487519307415,inf,0.9857015192135836,0.6190476190476192,1.0,0.8095238095238095
frozenset({'data scientist'}),"frozenset({'new york, ny'})",0.11441048034934498,0.048034934497816595,0.017467248908296942,0.15267175572519084,3.178348369188064,1.0,0.011971548978852425,1.123490302529604,0.7739151873767259,0.12048192771084336,0.10991666083059039,0.2581540596807772
"frozenset({'new york, ny'})",frozenset({'data scientist'}),0.048034934497816595,0.11441048034934498,0.017467248908296942,0.3636363636363636,3.1783483691880634,1.0,0.011971548978852425,1.3916406737367435,0.719954128440367,0.12048192771084336,0.28142370450062754,0.2581540596807772
"frozenset({'0.0', '117500.0'})",frozenset({'1.0'}),0.25065502183406113,0.8812227074235808,0.25065502183406113,1.0,1.134786917740337,1.0,0.029772124864133026,inf,0.1585081585081585,0.2844400396432111,1.0,0.6422200198216055
"frozenset({'0.0', '1.0'})",frozenset({'117500.0'}),0.8812227074235808,0.25065502183406113,0.25065502183406113,0.2844400396432111,1.134786917740337,1.0,0.029772124864133026,1.0472147963565546,0.9999999999999999,0.2844400396432111,0.04508606688983296,0.6422200198216055
"frozenset({'117500.0', '1.0'})",frozenset({'0.0'}),0.25065502183406113,1.0,0.25065502183406113,1.0,1.0,1.0,0.0,inf,0.0,0.25065502183406113,0.0,0.6253275109170305
frozenset({'0.0'}),"frozenset({'117500.0', '1.0'})",1.0,0.25065502183406113,0.25065502183406113,0.25065502183406113,1.0,1.0,0.0,1.0,0.0,0.25065502183406113,0.0,0.6253275109170305
frozenset({'117500.0'}),"frozenset({'0.0', '1.0'})",0.25065502183406113,0.8812227074235808,0.25065502183406113,1.0,1.134786917740337,1.0,0.029772124864133026,inf,0.1585081585081585,0.2844400396432111,1.0,0.6422200198216055
frozenset({'1.0'}),"frozenset({'0.0', '117500.0'})",0.8812227074235808,0.25065502183406113,0.25065502183406113,0.2844400396432111,1.134786917740337,1.0,0.029772124864133026,1.0472147963565546,0.9999999999999999,0.2844400396432111,0.04508606688983296,0.6422200198216055
